Year,Value,Units
2012,10849000.0,Beförderungsfälle Regionalverkehr [abs.]
2013,11529000.0,Beförderungsfälle Regionalverkehr [abs.]
2014,11476000.0,Beförderungsfälle Regionalverkehr [abs.]
2015,11522000.0,Beförderungsfälle Regionalverkehr [abs.]
2016,11605000.0,Beförderungsfälle Regionalverkehr [abs.]
2017,11617000.0,Beförderungsfälle Regionalverkehr [abs.]
2018,11629000.0,Beförderungsfälle Regionalverkehr [abs.]
2019,11640000.0,Beförderungsfälle Regionalverkehr [abs.]
2020,10193000.0,Beförderungsfälle Regionalverkehr [abs.]
2021,10196000.0,Beförderungsfälle Regionalverkehr [abs.]
2022,,Beförderungsfälle Regionalverkehr [abs.]
2012,7189000.0,Fahrplan-km/Jahr [abs.]
2013,7189000.0,Fahrplan-km/Jahr [abs.]
2014,7376000.0,Fahrplan-km/Jahr [abs.]
2015,7376000.0,Fahrplan-km/Jahr [abs.]
2016,7469000.0,Fahrplan-km/Jahr [abs.]
2017,7469000.0,Fahrplan-km/Jahr [abs.]
2018,7566000.0,Fahrplan-km/Jahr [abs.]
2019,8073000.0,Fahrplan-km/Jahr [abs.]
2020,8073000.0,Fahrplan-km/Jahr [abs.]
2021,8132000.0,Fahrplan-km/Jahr [abs.]
2022,8642000.0,Fahrplan-km/Jahr [abs.]
