Year,Units,Landratsamt,Value
2010,Endenergieverbrauch [kWh],Liegenschaften Landratsamt (witterungsbereinigt),5047196.0
2011,Endenergieverbrauch [kWh],Liegenschaften Landratsamt (witterungsbereinigt),5203267.0
2012,Endenergieverbrauch [kWh],Liegenschaften Landratsamt (witterungsbereinigt),5550254.0
2013,Endenergieverbrauch [kWh],Liegenschaften Landratsamt (witterungsbereinigt),5480620.0
2014,Endenergieverbrauch [kWh],Liegenschaften Landratsamt (witterungsbereinigt),5174411.0
2015,Endenergieverbrauch [kWh],Liegenschaften Landratsamt (witterungsbereinigt),4996817.0
2016,Endenergieverbrauch [kWh],Liegenschaften Landratsamt (witterungsbereinigt),5057217.0
2017,Endenergieverbrauch [kWh],Liegenschaften Landratsamt (witterungsbereinigt),5336747.0
2018,Endenergieverbrauch [kWh],Liegenschaften Landratsamt (witterungsbereinigt),5686839.0
2019,Endenergieverbrauch [kWh],Liegenschaften Landratsamt (witterungsbereinigt),5800651.0
2020,Endenergieverbrauch [kWh],Liegenschaften Landratsamt (witterungsbereinigt),6073451.0
2010,Anteil erneuerbarer Energien [%],Anteil erneuerbarer Energien (Liegenschaften Landratsamt),
2011,Anteil erneuerbarer Energien [%],Anteil erneuerbarer Energien (Liegenschaften Landratsamt),
2012,Anteil erneuerbarer Energien [%],Anteil erneuerbarer Energien (Liegenschaften Landratsamt),
2013,Anteil erneuerbarer Energien [%],Anteil erneuerbarer Energien (Liegenschaften Landratsamt),
2014,Anteil erneuerbarer Energien [%],Anteil erneuerbarer Energien (Liegenschaften Landratsamt),
2015,Anteil erneuerbarer Energien [%],Anteil erneuerbarer Energien (Liegenschaften Landratsamt),
2016,Anteil erneuerbarer Energien [%],Anteil erneuerbarer Energien (Liegenschaften Landratsamt),61.0
2017,Anteil erneuerbarer Energien [%],Anteil erneuerbarer Energien (Liegenschaften Landratsamt),56.0
2018,Anteil erneuerbarer Energien [%],Anteil erneuerbarer Energien (Liegenschaften Landratsamt),61.0
2019,Anteil erneuerbarer Energien [%],Anteil erneuerbarer Energien (Liegenschaften Landratsamt),63.0
2020,Anteil erneuerbarer Energien [%],Anteil erneuerbarer Energien (Liegenschaften Landratsamt),57.0
