Year,Region,Emittenten,Value
2010,Enzkreis,Stromverbrauch,904392
2011,Enzkreis,Stromverbrauch,970500
2012,Enzkreis,Stromverbrauch,1052636
2013,Enzkreis,Stromverbrauch,1078616
2014,Enzkreis,Stromverbrauch,1029681
2015,Enzkreis,Stromverbrauch,935321
2016,Enzkreis,Stromverbrauch,915471
2017,Enzkreis,Stromverbrauch,889881
2018,Enzkreis,Stromverbrauch,895705
2019,Enzkreis,Stromverbrauch,820714
2020,Enzkreis,Stromverbrauch,759441
2010,Enzkreis,Heizenergie,465000
2011,Enzkreis,Heizenergie,405000
2012,Enzkreis,Heizenergie,478000
2013,Enzkreis,Heizenergie,526000
2014,Enzkreis,Heizenergie,374000
2015,Enzkreis,Heizenergie,424000
2016,Enzkreis,Heizenergie,482000
2017,Enzkreis,Heizenergie,528000
2018,Enzkreis,Heizenergie,487000
2019,Enzkreis,Heizenergie,497000
2020,Enzkreis,Heizenergie,543578
2010,Enzkreis,Wasserverbrauch,9774
2011,Enzkreis,Wasserverbrauch,10695
2012,Enzkreis,Wasserverbrauch,10531
2013,Enzkreis,Wasserverbrauch,11404
2014,Enzkreis,Wasserverbrauch,11721
2015,Enzkreis,Wasserverbrauch,12793
2016,Enzkreis,Wasserverbrauch,11238
2017,Enzkreis,Wasserverbrauch,10511
2018,Enzkreis,Wasserverbrauch,12041
2019,Enzkreis,Wasserverbrauch,12920
2020,Enzkreis,Wasserverbrauch,11514
2010,Enzkreis,Straßenmeisterei,331618
2011,Enzkreis,Straßenmeisterei,330000
2012,Enzkreis,Straßenmeisterei,330000
2013,Enzkreis,Straßenmeisterei,330000
2014,Enzkreis,Straßenmeisterei,330000
2015,Enzkreis,Straßenmeisterei,330000
2016,Enzkreis,Straßenmeisterei,343373
2017,Enzkreis,Straßenmeisterei,361423
2018,Enzkreis,Straßenmeisterei,332928
2019,Enzkreis,Straßenmeisterei,348571
2020,Enzkreis,Straßenmeisterei,372260
2010,Enzkreis,Fuhrpark,99426
2011,Enzkreis,Fuhrpark,95850
2012,Enzkreis,Fuhrpark,102800
2013,Enzkreis,Fuhrpark,100427
2014,Enzkreis,Fuhrpark,94114
2015,Enzkreis,Fuhrpark,103917
2016,Enzkreis,Fuhrpark,184506
2017,Enzkreis,Fuhrpark,157799
2018,Enzkreis,Fuhrpark,122282
2019,Enzkreis,Fuhrpark,117212
2020,Enzkreis,Fuhrpark,105161
